File,Label
20161107_170003_0322_12.png,1
1208229914.180818143002_2.png,0
20151108_152830_1117_34.png,1
1208229914.180507080002_2.png,1
20150816_070002_1790_13.png,1
20150721_223003_1005_7.png,1
1208229914.180620223002_9.png,0
1208229914.181028053002_22.png,1
20160603_033002_0535_15.png,1
20160108_010003_3026_17.png,0
1208229914.181002113002_42.png,0
20160417_123003_3913_23.png,0
1208229914.180419043002_6.png,1
1208229914.181028130002_13.png,1
20160618_180001_1284_34.png,0
1208229914.180808060002_1.png,0
1208229914.180424213002_43.png,0
20161112_060003_0540_23.png,1
20160807_153003_3871_21.png,0
20150716_133002_0315_37.png,1
20160920_120002_1080_46.png,0
20160603_033002_0535_35.png,1
20160223_013002_0987_24.png,0
1208229914.180610040002_21.png,1
20160226_183002_1165_36.png,1
20160214_113002_0887_31.png,0
20160101_072830_3693_30.png,1
1208229914.180326153002_37.png,0
20150805_223002_1293_45.png,1
20150720_203002_0521_38.png,1
20160331_113003_3095_9.png,0
20160731_023001_3317_15.png,0
20151211_145830_2700_18.png,0
20160801_050002_3370_29.png,0
20160304_213003_1819_9.png,0
20160320_083002_2249_21.png,0
20160605_193002_0663_1.png,0
1208229914.180330160002_20.png,0
20150822_033003_2503_46.png,1
1208229914.181011040002_23.png,1
20160304_050002_1474_32.png,0
20151030_015830_0658_2.png,0
20160813_090002_3954_32.png,0
1208229914.180416123002_26.png,0
20160221_100002_0908_8.png,1
20151226_063002_2413_6.png,1
20160202_183002_0325_38.png,0
20151212_040003_1736_8.png,1
20151021_235829_0270_22.png,1
20150827_040003_2744_9.png,1
20160527_050003_0394_18.png,1
20160723_000002_2928_22.png,0
20151018_152829_0109_13.png,0
1208229914.181128003002_18.png,0
1208229914.180411180002_42.png,0
1208229914.181126123002_31.png,0
1208229914.180310070002_6.png,0
20151214_030003_1830_8.png,1
20160301_220002_1364_14.png,0
20151027_012830_0513_8.png,0
1208229914.181229153002_43.png,0
20160409_140003_3532_8.png,0
20160627_050002_1690_43.png,0
1208229914.190113193002_15.png,0
1208229914.180708043002_25.png,1
20160116_150003_3438_5.png,0
1208229914.180407200002_31.png,0
1208229914.180915123002_8.png,0
20151230_125830_3608_46.png,0
20160330_013002_2715_47.png,1
20160418_033002_3943_36.png,0
20151217_050003_1978_18.png,1
20160328_173002_2963_40.png,0
20160304_203003_1817_40.png,0
1208229914.181229153002_39.png,0
20160709_013002_2259_33.png,0
1208229914.181128003002_8.png,0
20151211_233002_1727_39.png,1
20170106_193002_3207_45.png,1
